r,L,M,S
390.0,0.000407619,0.000358227,0.00614265
390.1,0.000415826,0.000365581,0.0062617
390.2,0.00042419,0.00037308,0.00638307
390.3,0.000432714,0.000380728,0.0065068
390.4,0.000441399,0.000388528,0.00663294
390.5,0.000450249,0.000396482,0.00676152
390.6,0.000459267,0.000404593,0.0068926
390.7,0.000468455,0.000412863,0.00702623
390.8,0.000477816,0.000421296,0.00716243
390.9,0.000487352,0.000429894,0.00730128
391.0,0.000497068,0.00043866,0.0074428
391.1,0.000506965,0.000447597,0.00758705
391.2,0.000517047,0.000456708,0.00773409
391.3,0.000527317,0.000465996,0.00788395
391.4,0.000537777,0.000475465,0.0080367
391.5,0.000548431,0.000485116,0.00819237
391.6,0.000559281,0.000494954,0.00835104
391.7,0.000570332,0.000504981,0.00851274
391.8,0.000581585,0.0005152,0.00867753
391.9,0.000593044,0.000525615,0.00884547
392.0,0.000604713,0.00053623,0.00901661
392.1,0.000616594,0.000547046,0.00919101
392.2,0.000628691,0.000558068,0.00936873
392.3,0.000641008,0.0005693,0.00954983
392.4,0.000653546,0.000580743,0.00973435
392.5,0.000666311,0.000592403,0.00992238
392.6,0.000679305,0.000604282,0.010114
392.7,0.000692531,0.000616383,0.0103091
392.8,0.000705993,0.000628712,0.010508
392.9,0.000719695,0.00064127,0.0107106
393.0,0.00073364,0.000654061,0.010917
393.1,0.000747831,0.00066709,0.0111273
393.2,0.000762273,0.00068036,0.0113416
393.3,0.000776968,0.000693875,0.0115598
393.4,0.000791921,0.000707638,0.0117821
393.5,0.000807135,0.000721653,0.0120085
393.6,0.000822613,0.000735925,0.0122392
393.7,0.00083836,0.000750456,0.0124741
393.8,0.000854378,0.000765251,0.0127134
393.9,0.000870673,0.000780314,0.0129571
394.0,0.000887247,0.000795649,0.0132053
394.1,0.000904105,0.000811259,0.0134581
394.2,0.000921249,0.000827149,0.0137155
394.3,0.000938685,0.000843323,0.0139777
394.4,0.000956415,0.000859784,0.0142446
394.5,0.000974444,0.000876538,0.0145164
394.6,0.000992776,0.000893587,0.0147932
394.7,0.00101141,0.000910937,0.015075
394.8,0.00103036,0.000928591,0.0153619
394.9,0.00104963,0.000946553,0.0156541
395.0,0.00106921,0.000964828,0.0159515
395.1,0.00108911,0.00098342,0.0162542
395.2,0.00110934,0.00100233,0.0165625
395.3,0.0011299,0.00102157,0.0168762
395.4,0.0011508,0.00104114,0.0171956
395.5,0.00117203,0.00106104,0.0175207
395.6,0.0011936,0.00108128,0.0178515
395.7,0.00121552,0.00110187,0.0181883
395.8,0.00123779,0.0011228,0.018531
395.9,0.00126042,0.00114408,0.0188798
396.0,0.0012834,0.00116572,0.0192347
396.1,0.00130675,0.00118772,0.0195959
396.2,0.00133046,0.00121008,0.0199635
396.3,0.00135454,0.00123281,0.0203374
396.4,0.001379,0.00125592,0.0207179
396.5,0.00140383,0.0012794,0.0211051
396.6,0.00142905,0.00130327,0.0214989
396.7,0.00145466,0.00132752,0.0218996
396.8,0.00148065,0.00135216,0.0223072
396.9,0.00150704,0.0013772,0.0227218
397.0,0.00153382,0.00140263,0.0231436
397.1,0.00156101,0.00142847,0.0235725
397.2,0.0015886,0.00145472,0.0240088
397.3,0.00161661,0.00148138,0.0244525
397.4,0.00164503,0.00150846,0.0249037
397.5,0.00167386,0.00153596,0.0253626
397.6,0.00170312,0.00156389,0.0258292
397.7,0.0017328,0.00159224,0.0263036
397.8,0.00176291,0.00162103,0.026786
397.9,0.00179345,0.00165026,0.0272764
398.0,0.00182443,0.00167992,0.027775
398.1,0.00185584,0.00171004,0.0282819
398.2,0.00188771,0.0017406,0.0287971
398.3,0.00192001,0.00177162,0.0293209
398.4,0.00195277,0.0018031,0.0298532
398.5,0.00198598,0.00183504,0.0303943
398.6,0.00201965,0.00186744,0.0309441
398.7,0.00205378,0.00190032,0.0315029
398.8,0.00208837,0.00193367,0.0320707
398.9,0.00212343,0.0019675,0.0326477
399.0,0.00215896,0.0020018,0.0332339
399.1,0.00219496,0.00203659,0.0338296
399.2,0.00223144,0.00207187,0.0344347
399.3,0.0022684,0.00210764,0.0350494
399.4,0.00230584,0.00214391,0.0356738
399.5,0.00234376,0.00218068,0.0363081
399.6,0.00238217,0.00221794,0.0369523
399.7,0.00242107,0.00225571,0.0376065
399.8,0.00246046,0.00229399,0.038271
399.9,0.00250035,0.00233277,0.0389457
400.0,0.00254073,0.00237208,0.0396308
400.1,0.00258161,0.00241189,0.0403264
400.2,0.002623,0.00245223,0.0410327
400.3,0.0026649,0.00249309,0.0417497
400.4,0.0027073,0.00253449,0.0424776
400.5,0.00275023,0.00257642,0.0432165
400.6,0.00279368,0.0026189,0.0439665
400.7,0.00283766,0.00266192,0.0447277
400.8,0.00288217,0.0027055,0.0455003
400.9,0.00292723,0.00274963,0.0462844
401.0,0.00297282,0.00279433,0.0470801
401.1,0.00301897,0.00283961,0.0478875
401.2,0.00306567,0.00288546,0.0487067
401.3,0.00311293,0.00293189,0.0495379
401.4,0.00316076,0.00297891,0.0503812
401.5,0.00320916,0.00302652,0.0512366
401.6,0.00325813,0.00307474,0.0521044
401.7,0.00330769,0.00312356,0.0529847
401.8,0.00335784,0.003173,0.0538774
401.9,0.00340859,0.00322306,0.0547829
402.0,0.00345993,0.00327374,0.0557012
402.1,0.00351189,0.00332506,0.0566324
402.2,0.00356446,0.00337702,0.0575766
402.3,0.00361765,0.00342963,0.058534
