r,L,M,S
390,415003e-9,368349e-9,0.00954729
390.1,423072e-9,375656e-9,0.00972489
390.2,431289e-9,383103e-9,0.0099058
390.3,439656e-9,390693e-9,0.0100901
390.4,448176e-9,398427e-9,0.0102778
390.5,456852e-9,406309e-9,0.010469
390.6,465686e-9,414341e-9,0.0106637
390.7,47468e-8,422524e-9,0.0108621
390.8,483838e-9,430863e-9,0.0110641
390.9,49316e-8,439359e-9,0.0112699
391,50265e-8,448015e-9,0.0114794
391.1,512311e-9,456833e-9,0.0116928
391.2,522145e-9,465817e-9,0.0119102
391.3,532155e-9,474969e-9,0.0121315
391.4,542343e-9,484292e-9,0.0123569
391.5,552712e-9,493787e-9,0.0125865
391.6,563264e-9,503459e-9,0.0128202
391.7,574004e-9,51331e-8,0.0130582
391.8,584932e-9,523343e-9,0.0133006
391.9,596052e-9,533561e-9,0.0135473
392,607367e-9,543965e-9,0.0137986
392.1,618879e-9,554561e-9,0.0140544
392.2,630592e-9,56535e-8,0.0143148
392.3,642508e-9,576335e-9,0.01458
392.4,654629e-9,587519e-9,0.0148499
392.5,66696e-8,598906e-9,0.0151247
392.6,679503e-9,610498e-9,0.0154045
392.7,69226e-8,622299e-9,0.0156893
392.8,705235e-9,634311e-9,0.0159791
392.9,718431e-9,646538e-9,0.0162742
393,73185e-8,658983e-9,0.0165746
393.1,745496e-9,671649e-9,0.0168803
393.2,759372e-9,684539e-9,0.0171914
393.3,77348e-8,697657e-9,0.0175081
393.4,787824e-9,711005e-9,0.0178304
393.5,802407e-9,724587e-9,0.0181584
393.6,817232e-9,738406e-9,0.0184921
393.7,832301e-9,752466e-9,0.0188318
393.8,847619e-9,766769e-9,0.0191774
393.9,863188e-9,78132e-8,0.0195291
394,879012e-9,796121e-9,0.0198869
394.1,895092e-9,811176e-9,0.020251
394.2,911433e-9,826489e-9,0.0206215
394.3,928038e-9,842062e-9,0.0209983
394.4,94491e-8,857899e-9,0.0213817
394.5,962052e-9,874003e-9,0.0217718
394.6,979467e-9,890378e-9,0.0221686
394.7,997159e-9,907028e-9,0.0225722
394.8,0.00101513,923956e-9,0.0229827
394.9,0.00103338,941165e-9,0.0234003
395,0.00105192,958658e-9,0.023825
395.1,0.00107075,97644e-8,0.0242569
395.2,0.00108987,994514e-9,0.0246962
395.3,0.00110929,0.00101288,0.0251429
395.4,0.001129,0.00103155,0.0255972
395.5,0.00114902,0.00105052,0.0260592
395.6,0.00116934,0.00106979,0.0265289
395.7,0.00118997,0.00108938,0.0270065
395.8,0.00121091,0.00110928,0.0274921
395.9,0.00123216,0.00112949,0.0279858
396,0.00125373,0.00115002,0.0284877
396.1,0.00127563,0.00117088,0.0289979
396.2,0.00129784,0.00119206,0.0295166
396.3,0.00132038,0.00121357,0.0300438
396.4,0.00134325,0.00123542,0.0305796
396.5,0.00136646,0.0012576,0.0311243
396.6,0.00138999,0.00128012,0.0316778
396.7,0.00141387,0.00130299,0.0322404
396.8,0.00143809,0.0013262,0.032812
396.9,0.00146265,0.00134976,0.033393
397,0.00148756,0.00137367,0.0339832
397.1,0.00151282,0.00139795,0.034583
397.2,0.00153843,0.00142258,0.0351924
397.3,0.0015644,0.00144757,0.0358114
397.4,0.00159072,0.00147293,0.0364404
397.5,0.00161741,0.00149866,0.0370793
397.6,0.00164446,0.00152477,0.0377282
397.7,0.00167187,0.00155124,0.0383874
397.8,0.00169965,0.0015781,0.0390569
397.9,0.00172781,0.00160534,0.0397369
398,0.00175633,0.00163296,0.0404274
398.1,0.00178523,0.00166097,0.0411287
398.2,0.00181451,0.00168936,0.0418407
398.3,0.00184418,0.00171815,0.0425637
398.4,0.00187422,0.00174734,0.0432978
398.5,0.00190464,0.00177692,0.0440431
398.6,0.00193546,0.0018069,0.0447997
398.7,0.00196666,0.00183729,0.0455677
398.8,0.00199825,0.00186808,0.0463473
398.9,0.00203023,0.00189928,0.0471386
399,0.00206261,0.00193089,0.0479417
399.1,0.00209538,0.00196291,0.0487567
399.2,0.00212855,0.00199534,0.0495838
399.3,0.00216212,0.00202819,0.0504231
399.4,0.00219609,0.00206145,0.0512747
399.5,0.00223046,0.00209514,0.0521388
399.6,0.00226523,0.00212924,0.0530154
399.7,0.00230041,0.00216377,0.0539047
399.8,0.00233599,0.00219873,0.0548067
399.9,0.00237197,0.0022341,0.0557217
400,0.00240836,0.00226991,0.0566498
400.1,0.00244516,0.00230614,0.057591
400.2,0.00248237,0.0023428,0.0585455
400.3,0.00251999,0.0023799,0.0595134
400.4,0.00255803,0.00241744,0.0604949
400.5,0.00259649,0.00245542,0.06149
400.6,0.00263537,0.00249385,0.062499
400.7,0.00267468,0.00253272,0.0635219
400.8,0.00271443,0.00257206,0.0645589
400.9,0.0027546,0.00261185,0.0656101
401,0.00279522,0.0026521,0.0666757
401.1,0.00283628,0.00269283,0.0677557
401.2,0.00287778,0.00273402,0.0688503
401.3,0.00291974,0.00277569,0.0699596
401.4,0.00296215,0.00281784,0.0710838
401.5,0.00300502,0.00286048,0.072223
401.6,0.00304835,0.00290361,0.0733772
401.7,0.00309215,0.00294723,0.0745468
401.8,0.00313642,0.00299135,0.0757316
401.9,0.00318117,0.00303597,0.076932
402,0.0032264,0.0030811,0.0781479
402.1,0.00327211,0.00312675,0.0793796
402.2,0.00331831,0.00317291,0.0806271
402.3,0.00336501,0.0032196,0.0818906
402.4,0.00341221,0.00326682,0.0831702
402.5,0.00345991,0.00331457,0.0844661
402.6,0.00350812,0.00336287,0.0857782
402.7,0.00355685,0.00341171,0.0871068
402.8,0.0036061,0.0034611,0.088452
402.9,0.00365587,0.00351105,0.0898138
403,0.00370617,0.00356156,0.0911925
403.1,0.00375701,0.00361264,0.092588
403.2,0.00380839,0.00366429,0.0940006
403.3,0.00386033,0.00371653,0.0954303
403.4,0.00391281,0.00376935,0.0968772
403.5,0.00396586,0.00382277,0.0983414
403.6,0.00401947,0.00387679,0.0998231
403.7,0.00407366,0.00393141,0.101322
403.8,0.00412842,0.00398665,0.102839
403.9,0.00418378,0.00404252,0.104374
404,0.00423972,0.004099,0.105926
404.1,0.00429627,0.00415613,0.107497
404.2,0.00435342,0.0042139,0.109085
404.3,0.00441119,0.00427231,0.110691
404.4,0.00446957,0.00433139,0.112316
404.5,0.00452859,0.00439113,0.113959
404.6,0.00458825,0.00445154,0.11562
404.7,0.00464854,0.00451264,0.1173
404.8,0.0047095,0.00457442,0.118999
404.9,0.00477111,0.00463691,0.120715
405,0.00483339,0.0047001,0.122451
405.1,0.00489635,0.00476401,0.124205
405.2,0.00495998,0.00482863,0.125978
405.3,0.0050243,0.00489398,0.12777
405.4,0.00508929,0.00496005,0.129581
405.5,0.00515495,0.00502686,0.131411
405.6,0.00522129,0.00509439,0.133259
405.7,0.0052883,0.00516265,0.135127
405.8,0.00535598,0.00523165,0.137013
405.9,0.00542433,0.00530139,0.138919
406,0.00549335,0.00537186,0.140844
406.1,0.00556303,0.00544308,0.142788
406.2,0.00563337,0.00551504,0.144751
406.3,0.00570437,0.00558774,0.146733
406.4,0.00577601,0.00566119,0.148734
406.5,0.00584831,0.00573538,0.150754
406.6,0.00592125,0.00581032,0.152793
406.7,0.00599482,0.00588601,0.154851
406.8,0.00606903,0.00596245,0.156928
406.9,0.00614387,0.00603964,0.159025
407,0.00621933,0.00611757,0.16114
407.1,0.0062954,0.00619626,0.163274
407.2,0.00637207,0.00627569,0.165427
407.3,0.00644935,0.00635587,0.167599
407.4,0.00652721,0.0064368,0.16979
407.5,0.00660566,0.00651847,0.171999
407.6,0.00668468,0.00660088,0.174227
407.7,0.00676427,0.00668404,0.176474
407.8,0.00684441,0.00676794,0.178739
407.9,0.00692509,0.00685258,0.181023
408,0.00700631,0.00693795,0.183325
408.1,0.00708805,0.00702406,0.185645
408.2,0.00717029,0.0071109,0.187983
408.3,0.00725304,0.00719846,0.190339
408.4,0.00733627,0.00728675,0.192714
408.5,0.00741997,0.00737576,0.195106
408.6,0.00750413,0.00746548,0.197515
408.7,0.00758873,0.00755592,0.199942
408.8,0.00767376,0.00764706,0.202387
408.9,0.0077592,0.0077389,0.204848
409,0.00784503,0.00783144,0.207327
409.1,0.00793125,0.00792467,0.209822
409.2,0.00801783,0.00801859,0.212335
409.3,0.00810475,0.00811318,0.214863
409.4,0.008192,0.00820844,0.217408
409.5,0.00827956,0.00830437,0.219969
409.6,0.00836741,0.00840095,0.222546
409.7,0.00845552,0.00849818,0.225139
409.8,0.00854388,0.00859606,0.227747
409.9,0.00863247,0.00869456,0.23037
410,0.00872127,0.00879369,0.233008
410.1,0.00881025,0.00889343,0.235661
410.2,0.0088994,0.00899379,0.238329
410.3,0.00898874,0.00909476,0.241011
410.4,0.00907825,0.00919634,0.243707
410.5,0.00916793,0.00929854,0.246418
410.6,0.00925777,0.00940134,0.249143
410.7,0.00934778,0.00950476,0.251882
410.8,0.00943796,0.00960878,0.254636
410.9,0.0095283,0.00971341,0.257402
